date,min,max,median,q1,q3,stdev,count
2019-12-09T00:00:00.000Z,0.6,5.9,2.1,1.18,2.45,0.863,314
2019-12-10T00:00:00.000Z,0.95,9.16,1.58,1.32,3.05,1.594,409
2019-12-11T00:00:00.000Z,0.98,4.88,2.34,1.9,3.16,0.855,433
2019-12-12T00:00:00.000Z,0.65,36.75,15.44,1.92,18.05,7.788,493
2019-12-13T00:00:00.000Z,2.58,20.64,9.23,6.5,12.36,4.224,565
2019-12-14T00:00:00.000Z,2.24,16.3,6.44,3.65,10.55,3.91,399
2019-12-15T00:00:00.000Z,1.08,12.44,2.13,1.75,2.92,1.01,575
2019-12-16T00:00:00.000Z,1.45,4.3,2.2,1.92,2.9,0.65,292
2019-12-17T00:00:00.000Z,1.47,9.35,4.16,3.33,5.81,1.642,285
2019-12-18T00:00:00.000Z,0.35,7.56,1.7,1.35,2.7,1.647,467
2019-12-19T00:00:00.000Z,1.12,20.92,3.82,2.14,5.3,2.405,552
2019-12-20T00:00:00.000Z,5.09,28.15,14.43,9.69,20.84,6.078,585
2019-12-21T00:00:00.000Z,9.39,41.14,27.6,22.45,34.56,7.472,575
2019-12-22T00:00:00.000Z,1.55,9.4,4.55,3.88,5.45,1.4,586
2019-12-23T00:00:00.000Z,2.2,21.77,4.07,3,7.94,3.918,588
2019-12-24T00:00:00.000Z,3.35,56.5,7.62,6.18,10.7,4.422,588
2019-12-25T00:00:00.000Z,1.05,14.65,7.09,5.46,8.92,2.71,590
2019-12-26T00:00:00.000Z,1.12,5.4,2.45,2.04,3.28,0.925,589
2019-12-27T00:00:00.000Z,0.95,4.86,2.64,1.98,3.02,0.767,590
2019-12-28T00:00:00.000Z,1.62,6.9,3.04,2.43,3.9,0.984,589
2019-12-29T00:00:00.000Z,2.54,15.89,8.44,4.76,12.59,4.226,593
2019-12-30T00:00:00.000Z,1.48,14.95,3.99,3.2,5.12,2.994,583
2019-12-31T00:00:00.000Z,0.35,15.68,1,0.8,1.23,1.866,581
2020-01-01T00:00:00.000Z,1.1,4.33,1.71,1.48,2.61,0.802,586
2020-01-02T00:00:00.000Z,2.25,12.1,7.31,5.37,9.13,2.647,580
2020-01-03T00:00:00.000Z,0.55,7.75,1.34,1.05,2,1.395,534
2020-01-04T00:00:00.000Z,0.55,2.4,1.02,0.8,1.29,0.387,525
2020-01-05T00:00:00.000Z,0.85,4,1.45,1.25,1.69,0.406,570
2020-01-06T00:00:00.000Z,0.7,5.56,2.25,1.88,2.65,0.679,523
2020-01-07T00:00:00.000Z,0.95,13.25,4.72,2.12,6.92,3.191,515
2020-01-08T00:00:00.000Z,1.1,999.9,2.84,2.35,3.25,181.042,508
2020-01-09T00:00:00.000Z,0.85,999.9,3.49,2.65,7.04,269.208,537
2020-01-10T00:00:00.000Z,1.75,14.16,3.24,2.42,5.22,3.122,435
2020-01-11T00:00:00.000Z,0.95,7.15,2.4,1.73,3.1,1.277,530
2020-01-12T00:00:00.000Z,0.45,3.32,1.75,1.33,1.97,0.481,559
2020-01-13T00:00:00.000Z,1.4,5.75,2.42,2.1,2.82,0.589,480
2020-01-14T00:00:00.000Z,1.82,14.32,4.25,2.52,5.73,2.442,440
2020-01-15T00:00:00.000Z,0.65,6.15,1.52,1.27,2.38,1.074,463
2020-01-16T00:00:00.000Z,0.86,4.95,3.25,2.54,3.76,0.999,484
